Sport,Game_Date,Event,BetType,Is_Live,Fetched_At,Url,Source,Selection,Moneyline
NBA,2026-02-12 19:30:00+00:00,BKN vs IND,Moneyline,False,,,PointsBet,BKN,-400
NBA,2026-02-12 19:30:00+00:00,BKN vs IND,Moneyline,False,,,PointsBet,IND,280
NBA,2026-02-12 19:30:00+00:00,DEN vs MEM,Moneyline,False,,,PointsBet,DEN,-750
NBA,2026-02-12 19:30:00+00:00,DEN vs MEM,Moneyline,False,,,PointsBet,MEM,450
NBA,2026-02-12 19:30:00+00:00,DET vs TOR,Moneyline,False,,,PointsBet,DET,-14926
NBA,2026-02-12 19:30:00+00:00,DET vs TOR,Moneyline,False,,,PointsBet,TOR,2800
NBA,2026-02-12 19:30:00+00:00,GSW vs SAS,Moneyline,False,,,PointsBet,GSW,185
NBA,2026-02-12 19:30:00+00:00,GSW vs SAS,Moneyline,False,,,PointsBet,SAS,-225
NBA,2026-02-12 19:30:00+00:00,HOU vs LAC,Moneyline,False,,,PointsBet,HOU,-400
NBA,2026-02-12 19:30:00+00:00,HOU vs LAC,Moneyline,False,,,PointsBet,LAC,280
NBA,2026-02-12 19:30:00+00:00,MIA vs NOP,Moneyline,False,,,PointsBet,MIA,-210
NBA,2026-02-12 19:30:00+00:00,MIA vs NOP,Moneyline,False,,,PointsBet,NOP,160
NBA,2026-02-12 19:30:00+00:00,MIL vs OKC,Moneyline,False,,,PointsBet,MIL,550
NBA,2026-02-12 19:30:00+00:00,MIL vs OKC,Moneyline,False,,,PointsBet,OKC,-800
NBA,2026-02-12 19:30:00+00:00,MIL vs ORL,Moneyline,False,,,PointsBet,MIL,-240
NBA,2026-02-12 19:30:00+00:00,MIL vs ORL,Moneyline,False,,,PointsBet,ORL,175
NBA,2026-02-12 19:30:00+00:00,MIN vs POR,Moneyline,False,,,PointsBet,MIN,-700
NBA,2026-02-12 19:30:00+00:00,MIN vs POR,Moneyline,False,,,PointsBet,POR,425
NBA,2026-02-12 19:30:00+00:00,NYK vs PHI,Moneyline,False,,,PointsBet,NYK,-40000
NBA,2026-02-12 19:30:00+00:00,NYK vs PHI,Moneyline,False,,,PointsBet,PHI,5000
NBA,2026-02-12 19:30:00+00:00,OKC vs PHX,Moneyline,False,,,PointsBet,OKC,-550
NBA,2026-02-12 19:30:00+00:00,OKC vs PHX,Moneyline,False,,,PointsBet,PHX,350
NBA,2026-02-12 19:30:00+00:00,POR vs UTA,Moneyline,False,,,PointsBet,POR,-325
NBA,2026-02-12 19:30:00+00:00,POR vs UTA,Moneyline,False,,,PointsBet,UTA,250
NBA,2026-02-12 19:30:00+00:00,SAC vs UTA,Moneyline,False,,,PointsBet,SAC,330
NBA,2026-02-12 19:30:00+00:00,SAC vs UTA,Moneyline,False,,,PointsBet,UTA,-500
