pulled_at_utc,source,market_id,slug,question,category,condition_id,active,closed,end_date_utc,outcomes_json,clob_token_ids_json,volume_num,liquidity_num
2026-02-01T19:57:57+00:00,polymarket_gamma,20,will-coinbase-begin-publicly-trading-before-jan-1-2021,"Will Coinbase begin publicly trading before Jan 1, 2021?",Crypto,0x5d1a1ab716fd06943441fe27cde0089651ce769bec55e191b6953468a0e9f0d0,True,True,2021-01-02,"[""Yes"", ""No""]","[""36272374199536229966445059644094050673269921351760158331280706670625385054221"", ""29551507732179460087505547206009697311109043686065631717734195665429037695993""]",116803.38,0.37
2026-02-01T19:57:57+00:00,polymarket_gamma,36,what-will-the-price-of-bitcoin-be-on-november-4th-2020,"What will the price of Bitcoin be on November 4th, 2020?",Crypto,0xd903891c2b9046cae14615afc4c5245370143503f7b2dfc13919acee07a1696d,True,True,2022-03-01,"[""Long"", ""Short""]","[""53678111440828523722141246186412284959552524573416536208576098319557003483879"", ""27264257149048736764964503982112624364843013894764060447611166847296827564421""]",59755.8,0
2026-02-01T19:57:57+00:00,polymarket_gamma,43,what-will-the-total-value-locked-tvl-in-defi-be-at-the-end-of-2020-according-to-defipulse,"What will the total value locked (TVL) in DeFi be at the end of 2020, according to DefiPulse?",Crypto,0x7333b6e016f7f60d86f15f11ed0b41b69deec0b6d73b86933639b1f39a545d87,True,True,2021-01-02,"[""Long"", ""Short""]","[""39300000801750313506415881962475878529141489415482379908932315503554876854698"", ""1993578487229597591293755303341708890459187725728713215820133740213314514940""]",46944.58,4.6
2026-02-01T19:57:57+00:00,polymarket_gamma,44,what-will-the-usd-price-of-filecoin-fil-be-on-november-17th-2020,"What will the USD price of Filecoin ($FIL) be on November 17th, 2020?",Crypto,0xb2eecb8d14e871c5b82a3b037fc5f8b703c218e41aa578c8e870244585b9db78,True,True,2022-03-01,"[""Long"", ""Short""]","[""107699364100754617875486132785724523107969133188296890147988278666088935403692"", ""22109666543078076459357678702338675150149605914715142144925647528888085903187""]",69947.1,190.13
2026-02-01T19:57:57+00:00,polymarket_gamma,57,will-dharma-s-phase-1-retroactive-uni-distribution-proposal-pass,Will Dharma’s Phase 1 Retroactive UNI Distribution proposal pass?,Crypto,0xde12c76b349c3b90ed4855ad22ee2e6f794b5c440de91388d86ace1dd0da358f,True,True,2022-02-02,"[""Yes"", ""No""]","[""72218237979282777228049705424647682506448885729323094146056564018197398411018"", ""76731769693516352587522885170441797646765264652411014962662144189430623780323""]",35661.94,0
2026-02-01T19:57:57+00:00,polymarket_gamma,63,will-btc-break-15k-before-2021-1,Will BTC break $15k before 2021?,Crypto,0x7b02c10a310f38be83ae0dbbb5caa96722a69ae1488b1ac5c2003bccd70ac021,True,True,2022-01-12,"[""Yes"", ""No""]","[""81489679527234870363655397325586438057198526422665424757123802116412728199295"", ""49766556628062086013472587707046514950870842420956058689393245878472316276945""]",224706.49,0
2026-02-01T19:57:57+00:00,polymarket_gamma,75,will-the-ethereum-20-genesis-event-happen-successfully-on-december-1st-2020,"Will the Ethereum 2.0 Genesis Event happen successfully on December 1st, 2020?",Crypto,0xa415326794437d158e8e8a4d9db412b09a31e8b585996f1bad817ee3162588b0,True,True,2022-01-16,"[""Yes"", ""No""]","[""77627371401939105002385145056688905915571707561396568073129144307944860669891"", ""37298673187595158731518988511507524825725270207480860813825460647761688797840""]",560270.42,7.88
2026-02-01T19:57:57+00:00,polymarket_gamma,76,will-btc-break-20k-before-2021,Will $BTC break $20k before 2021?,Crypto,0xa670159e0a8868ed1ca0013cf026805c1c5ffbf778a1d5030218471620211222,True,True,2022-01-17,"[""Yes"", ""No""]","[""24680891386899004239422217017747530833228850388439331073974543214962789676595"", ""83973309932681465959484168662520374150245867260821232128773724666573303624136""]",1467610.68,1170.71
2026-02-01T19:57:57+00:00,polymarket_gamma,97,will-any-art-piece-on-superrare-sell-for-more-than-100k-before-2021,Will any art piece on Superrare sell for more than $100k before 2021?,Crypto,0x466c0923487b199c6d60d533bcabde40fe6ba848d96116fb9465ab55fc50ca5d,True,True,2020-01-01T00:00:00Z,"[""Yes"", ""No""]","[""82058970344901376299293389426990722709778673126827900451251907948792892992082"", ""39354123957074156603334161310385208775892469910347412453686303087900707759281""]",44204.85,0
2026-02-01T19:57:57+00:00,polymarket_gamma,98,will-uniswap-v3-launch-before-2021,Will Uniswap v3 launch before 2021?,Crypto,0x42fe32be346eef59ded4a190529dba0e4de3e144b10daabd0da971e11f90dd42,True,True,2022-02-23,"[""Yes"", ""No""]","[""10750089964720261912119842885968782757874486654707428361224578135895433985130"", ""8461775146513192457355229734327078529756340578750049643419185152065136876477""]",87371.44,0
