Sport,Game_Date,Event,BetType,HomeTeam,HomeOdds,AwayTeam,AwayOdds,Is_Live,Fetched_At,Url
NBA,2026-02-12T19:30:00,Milwaukee Bucks vs Orlando Magic,Moneyline,Orlando Magic,175,Milwaukee Bucks,-240,False,2026-02-11T21:26:42,
NBA,2026-02-12T19:30:00,Detroit Pistons vs Toronto Raptors,Moneyline,Toronto Raptors,2800,Detroit Pistons,-14926,False,2026-02-11T21:26:42,
NBA,2026-02-12T19:30:00,New York Knicks vs Philadelphia 76ers,Moneyline,Philadelphia 76ers,5000,New York Knicks,-40000,False,2026-02-11T21:26:42,
NBA,2026-02-12T19:30:00,Indiana Pacers vs Brooklyn Nets,Moneyline,Brooklyn Nets,-400,Indiana Pacers,280,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Miami Heat vs New Orleans Pelicans,Moneyline,New Orleans Pelicans,160,Miami Heat,-210,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Portland Trail Blazers vs Minnesota Timberwolves,Moneyline,Minnesota Timberwolves,-700,Portland Trail Blazers,425,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Los Angeles Clippers vs Houston Rockets,Moneyline,Houston Rockets,-400,Los Angeles Clippers,280,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Oklahoma City Thunder vs Phoenix Suns,Moneyline,Phoenix Suns,350,Oklahoma City Thunder,-550,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Memphis Grizzlies vs Denver Nuggets,Moneyline,Denver Nuggets,-750,Memphis Grizzlies,450,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Sacramento Kings vs Utah Jazz,Moneyline,Utah Jazz,-500,Sacramento Kings,330,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,San Antonio Spurs vs Golden State Warriors,Moneyline,Golden State Warriors,185,San Antonio Spurs,-225,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Milwaukee Bucks vs Oklahoma City Thunder,Moneyline,Oklahoma City Thunder,-800,Milwaukee Bucks,550,False,2026-02-11T21:26:43,
NBA,2026-02-12T19:30:00,Portland Trail Blazers vs Utah Jazz,Moneyline,Utah Jazz,250,Portland Trail Blazers,-325,False,2026-02-11T21:26:43,
